Catégorie	Auteur	Titre français normalisé	Autres titres français	Titre latin	Titre syriaque normalisé	Incipit syriaque	Identifiant dans une clavis	cote catalogue et notes personnelles
Apoc. 		Actes d'André et Barthélémy 		Acta Andreae et Bartholomaei 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 11-23 (texte), p. 11-26 (trad.) ; CANT 238 ; BHO 55.	232, 7, e (garshuni)
Apoc. 		Actes d'André et Matthieu au pays des anthropophages 		Acta Andreae et Matthiae in urbe anthropophagorum 			Éd. : WRIGHT, Apoc. Acts, 1871, vol. 1, p.102-125 (BL Add. 14645) ; trad.: WRIGHT, Apoc. Acts, 1871, vol. 2, p.93-115 ; CANT 236 ; BHO 733. Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 109-118 (texte), p. 126-136 (trad.) ; CANT 236 ; BHO 736). BHO 733 reflète la tradition syriaque de l'oeuvre grecque BHG 109-110. Sur la tradition manuscrite syriaque, voir DESREUMAUX, 2009, p. 129-133.	Paris BnF syr. 232, 7/y (garshuni) ; Paris BnF syr. 234, 40 ; 309 ; 414 (inc. différent de BHO 733) , Berlin syr. 74, Trichur ; Téhéran Issayi 18, 10 ; 
Apoc. 		Actes d'André et Matthieu au pays des prêtres 		Acta Matthaei et Andreae in ciuitate Kahenat 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 83-91 (texte), p. 100-109 (trad.) ; CANT 268 ; BHO 738.	232, 7/q (garshuni)
Apoc. 		Actes de Jacques le juste, frère du Seigneur 		Acta Iacobis minoris, fratris Domini 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 120-122 (texte), p. 140-142 (trad.) ; CANT 276 ; BHO 399.	232, 7/aa (garshuni)
Apoc. 		Actes de Jacques, fils de Zébédée 		Acta Iacobi Zebedaei 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 26-30 (texte), p.  30-32 (trad.) ; CANT 273 ; BHO 417.	232, 7/g (garshuni)
		Actes de Paul					Éd. AMS I, 34-44 ; BHO 889	Trichur 
Apoc. 		Actes de Pierre 		Praedicatio Petri 			CANT 200 ; BHO 935 éd. AMS I, 1-33 (ms Kirkouk) ; corrigé par I. Guidi, "Bemerkungen", ZDMG 46 (1892), p. 744-747 ; Pour le garshuni : CANT 202 ; cf. BHO 938 (éthiopien pour les actes à Carthage); 	Trichur ; Paris 179, 2 (extraits) ; (Paris 232, 7/a (garshuni) ce n'est pas le même texte) ; 
Apoc. 		Actes de Pierre et de Thaddée (Judas)  		Acta Petri et Andreae  			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 94-95 (texte), p. 113-114 (trad.) ; CANT 237 ; BHO 1142	232, 7/t (garshuni)
Apoc. 		Actes de Simon le Cananéen 		Acta Simonis Cananaei 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 96-98 (texte), p. 115-117 (trad.) ; CANT 282 ; BHO 1110. 	232, 7/u (garshuni)
Apoc. 		Actes de Thomas 		Acta Thomae 			Pour le syriaque : Éd. / Trad. WRIGHT, 1871, vol. 1, p. 172-333 (texte) [d'après BL Add. 14645] ;  vol. 2, p. 146-298 (traduction) ; éd. AMS, 1892, vol. 3, p. 3-175 [d'après Berlin Sachau 222] ; CANT 245 (I) ; BHO 1186-1204. Pour le garshuni : (il s'agit de la tradition grecque du texte) Éd. / Trad. (texte arabe) SMITH LEWIS, 1904, p. 67-78 (texte), p. 80-93 (trad.) ; CANT 245. II ; BHO 1213.	Paris BnF syr. 180, 4/b ; Paris BnF syr. 389 (D) ; Trichur(syriaque) ; 232, 7/o (garshuni) ; 
NT		Actes des Apôtres						
AT		Aggée						
AT		Amos						
Litur.		Anaphore d'Addaï et Mari	Liturgie des Apôtres 					Paris BnF syr. 93, 1 ; 310. 
Litur. 		Anaphore de Jacques 						70, 2 et 71, 7 et 72, 2
Litur. 		Anaphore de Jean 						72, 3 ; 73, 8 ; 74, 4
Litur.		Anaphore de Marc 						74, 10
Litur.		Anaphore de Matthieu						72, 8 ; 73, 6
Litur. 		Anaphore de Pierre 						71, 2 ; 73, 7 ; 74, 9
Litur. 		Anaphore des douze apôtres 	Anaphore de Luc 					71, 8 et 72, 10 et 73, 4
NT		Apocalypse						
Apoc. 		Apocalypse de Paul 		Apocalypsis Pauli 			Ed. : RICCIOTTI, Apocalypsis Pauli, 1933, p. 1-149 (Vat. sir. 180 et Borgia sir. 39) ; CANT 325, pour l'identification du texte syriaque, cf. ERBETTA, Gli apocrifi, 1969, III, p. 354-356 ; BHG 1460, pour l'éd. du texte grec, cf. TISCHENDORF, Apocalypses apocryphae, 1866. Pour le garshuni, rédaction différente de celle du grec et du syriaque : cf. GCAL I, p. 272-73.  	232, 6 (karsh.) ; Téhéran Issayi 18, 14 ; Paris 377 ; Paris 352
Apoc. 		Apocalypse de Pierre 	Kitab al-Majal	Apocalypsis Petri			GCAL I, p. 271-72 ; comparer avec CANT 324 (copte)	63, 1, en carchouni. Compilation d'apocryphes, dont le Testament d'Adam ; 232, 12 (garshuni)
		Apocalypse d'Esdras relative aux Arabes 					Éd. / Trad. CHABOT, Revue Sémitique, 1894, p. 242-250 (texte), p. 333-347 (trad.).	Paris BnF syr. 326
		Apocryphe apocalyptique non identifié						Paris BnF syr. 350
Apoc. 		Apocryphon de Jérémie sur la captivité de Babylone		Apocryphon Jeremiae de captiuitate Babylonis			CAVT 227	65, 3, en carchouni
Litur.		Appendice / Complément de l'Octoèque						127, 2 : à détailler en commentaire (ex. contient les 11 évangiles de la résurrection, les exapostilaires ; les stychères de l'évangile (ou eothina) ; etc. 
		Autres sujets d'astronomie (de Sévère Sébokt ?)						Paris BnF syr. 346
AT		Baruch						
AT		Bel et le dragon						
Litur.		Bet Gazo	Trésor des prières		ܒܝܬ ܓܙܐ			145
		Calcul de la livre et du poids					Cf. BUDGE, 1913, I, p. 446-447 (texte), II, p. 525-526 (trad.).	Paris BnF syr. 424-425
Litur.		Calendrier 						63, 4 ; 181, 2
Canon.		Canons d’Ancyre		Synodus ancyrana			CPG 8501/8502	62
Canon. 		Canons d'Antioche 		Synodus antiochena			Éd. / Trad. NAU, ROC 14, 1909, p. 12-24 , CPG 8535/8536/?	Canons + lettre synodale + lettre à Alexandre évêque de Constantinople 
Canon. 		Canons de Bet-Boten					Éd. / Trad. NAU 1909	62, 54
Canon.		Canons de Carthage 					CPL?	canons + lettre synodale + lettre de Cyprien à Quintus et Fidus
Canon. 		Canons de Chalcédoine 		Concilium oecumenicum chalcedonense 			CPG 9008	c'est l'Actio VII (avec 27 canons)
Canon. 		Canons de Constantinople 		Concilium oecumenicum constantinopolitanum I			CPG 8598/8599/8600	Canons + lettre synodale + symbole + noms ; epistula et symbolum et nomina syriaques non repertoriés dans la CPG
Canon. 		Canons de Constantinople (861 et 879) 						223, 1/19
Canon. 		Canons de Gangres		Synodus gangrensis			CPG 8553/8554	Canons + lettre synodale
Canon. 		Canons de la lettre d'Italie					Éd. / Trad. NAU, ROC 14, 1909, p. 25-34.	16 canons ; cf. Schulthess et Vööbus ? F. Nau la rapproche du texte grec: "Peines (portées) par les saints apôtres" ms. Coislin 211
Canon.		Canons de Laodicée		Synodus laodicena			CPG 8607	
Canon. 		Canons de Néo-Césarée 		Synodus neocaesariensis			CPG 8504	
Canon.		Canons de Nicée		Concilium oecumenicum nicaenum			CPG 8521 / 8511 (extrait)	62
Canon. 		Canons de Sardes		Synodus sardicensis 			CPG 8570	canons + nomina episcoporum?  + profession de foi (cf. CPG 8561, mais non attesté en syriaque)
Canon. 		Canons de Séleucie-Ctésiphon 		Actes du synode de Séleucie-Ctésiphon (410 AD)				62, 35 ; Strasbourg syr. 4131
Canon. 		Canons de Serge d'Amphiator					Trad. NAU, ROC 14, 1909, p. 127-8.	62, 49
Canon.		Canons d'Ephèse		Concilium oecumenicum ephesinum			Éd. VÖÖBUS 1975-76 , CPG  8800	62, 13 et 48. Dans le 13: que 2 canons, chacun avec son titre : cf. Vööbus CSCO 367 : ce n'est pas CPG 8938 ?? Autres pièces dans le 48 (Lettre à Célestin de Rome; Anaphore pour les rois Théodose et Valentin; etc.)
Apoc. / Canon.		Canons des apôtres						62
		Canons des saints Pères						224
		Canons et préceptes						Paris BnF syr. 434, III
		Canons pénitentiels sous forme de questions et réponses						198
		Ccanons pour le baptême						198
Canon. 		Canons pour le mariage 						110, 23
		Canons sur les héritages						Paris BnF syr. 354
Canon. / Litur. 		Canons sur les sacréments 						111, 2 (de divers auteurs)
AT		Cantique des Cantiques						
AT		Cantiques 	Odes 					13 (à détailler en commentaire)
		Cantiques tirés du Nouveau livre des cantiques de consolation						Paris BnF syr. 427
AT/Comm.		Chaînes et commentaires de l’AT						9, n° 1 
Litur.		Chants funèbres						
		Chapitre sur les cornes de la lune						Paris BnF syr. 346
		Chronographie						Paris BnF syr. 428
NT		Colossiens						
		Commentaire anonyme de l'Asketikon d'Isaïe de Scété					Cf. DRAGUET, Les cinq recensions, 1968, I (CSCO 289 / Syr. 120), p. 37*-38*.	195
		Commentaire du livre des Psaumes						Paris BnF syr. 433
		Compilation astrologico-divinatoire					Cf. BUDGE, 1913, I, p. 441-542 (texte), II, p. 520-655 (trad.).	Paris BnF syr. 424-425
Litur.		Comput	Règle pour calculer le calendrier 					13, n° 31 ; 70, 8 ; 82, 15 
		Conjugaison du verbe bilittère (paradigme du verbe ܒܙ)						Paris BnF syr. 426
Théol.		Controverse d'Abu Qurra, évêque de Harran, avec le calife al-Mamoun						204, 1 ; 238, 13 
AT		Daniel						
Canon. 		Décrets de Constantin, Théodose le Grand et Léon le Sage 						112, 46 ; 223, 1/47
AT		Deutéronome						
		Deuxième histoire au sujet de l'invention de la Croix par Hélène 					Éd. NESTLE, Brevis linguae, 1881, p. ܣܘ-ܠܚ d'après Add. 12174 ; BHO 216 ; SS 188	Paris BnF syr. 309 ; 326 ; Damas 12/17, 51b ; Add. 12174
Litur. 		Diaconal						87 ; 88, 2 ; 152, 1 
		Dialogue de Moïse avec Dieu					Éd.: HALL, " The colloquy ", 1891, p. 161-177 (Cambridge, Mass., Harvard University, Houghton Library, syr. 59 et 166.).	Téhéran Issayi 18, 11 ;
Apoc. / Canon.		Didascalie des douze apôtres		Didascalia apostolorum	ܕܝܕܣܩܠܝܐ ܐܘܟܝܬ ܡܠܦܢܘܬܐ ܩܬܘܠܝܩܐ ܕܬܖ̈ܥܣܪ ܫܠܝ̈ܚܐ ܘܬܠܡ̈ܝܕܐ ܩܕܝ̈ܫܐ ܕܦܪܘܩܢ		Éd. / Trad. NAU 1912 , CPG 1738	62 Tout le manuscrit a été décrit par F. Nau, dans la Revue de l'Orient Chrétien 4/14 (1909), p. 1-49 (avec traduction de plusieurs pièces)
		Dissertation sur le dimanche						193, k
		Dissertation sur le jeûne du carême						193, m
		Dissertation sur l'usage de jeûner le mercredi et le vendredi						193, l
		Diverses explications (sur des paraboles évangéliques ; sur des malheurs ; sur des mesures de distance ; sur des drogues et leurs indications)						Paris BnF syr. 428
Apoc. / Canon.		Doctrine des apôtres  	Didascalia Addai ?					62
AT		Ecclésiaste	Qohéleth					
AT		Ecclésiastique	Siracide, Ben Sira				CAVT 211	179, 3 ; Firenze BML Or. 254
Litur. 		Elégies						120, 17
NT		Éphésiens						
AT		Épître de Baruch						
AT		Épître de Jérémie						
AT		Esdras						
AT		Esther						
		Euthaliana : vie et passion de l'apôtre Paul					Éd. RAHMANI, Studia syriaca, Sharfe, 1904, p. 4-5 ; BHO 884.	Paris BnF syr. 371, G
Lect. 		Évangéliaire						51 cf. 52 aussi (extraits pour la Passion), + 362 + 72, 1 ? + 186, 1 ? 
		Evangile de l'Enfance (du Pseudo-Thomas)					Éd. WRIGHT, Contributions, p. ܝ-ܝܘ (texte), p. 6-11 (trad.) ; CANT 57. Il s'agit du quatrième des sept Livres qui composent l'Histoire de la Vierge dans les manuscripts syro-occidentaux : cf. NAFFAH, "Les 'Histoires' syriaques de la Vierge", 2009, p. 137-188. 	Paris BnF syr. 377, 15
NT		Évangiles selon la version héracléenne						Firenze BML Plut. 1.40
NT		Évangiles selon la version Peshitta						Firenze BML Plut. 1.56, 1.58
AT		Exode						
		Explications des choses secrètes ou Encyclopédie						Paris BnF syr. 320
		Extraits de l'histoire des Yézidis					Éd. / Trad. CHABOT, JA 7, 1896, p. 102-117 (texte) ; p. 118-132 (traduction) ; pour d'autres extraits en garshuni, trad. anglaise par M. E. BROWNE, dans PARRY, 1895, p. 357-387.	Paris Bnf syr. 324 ; Strasbourg syr. 4124
		Extraits d'une lettre d'un évêque sur différents délits					Trad. NAU, ROC 14, 1909, p. 117-9.	62, 40
AT		Ézéchiel						
NT		Galates						
AT		Genèse						
AT		Habacuc						
NT		Hébreux						
Litur.		Hirmologion						131
		Histoire admirable d'un homme bienheureux						London BL Or. 4526
		Histoire d'Aaron de Saroug					Éd. / Trad. NAU, "La légende d'Aaron", PO 5, 1910, p. 703-749 (d'après BL Add 12174) ; BHO p. 273 ; SS 1. 	Damas ; Add. 12174
		Histoire d'Abḥaï de Nicée 					Éd. AMS VI, 557-614 (à partir de Add. 12174) ; BHO 10 ; SS 14. 	Damas 12/18 ; Add. 12174 ; Paris syr. 384
		Histoire d'Abraham de Kaškar 					Cf. éd. / Trad. NAU, "Résumés", 1917, p. 24-32 ; BHO 14 ; SS 23. 	Damas
		Histoire d'Addaï, chorévêque 					Éd. / Trad. BROOKS, PO 17, p. 124-134 ; SS 28	Damas 12/18
		Histoire d'Aḥiqar					Éd. / Trad. NAU, ROC 21, 1918-19, p. 274-307 et 356-400 ; cf. NAU, 1909.	Paris BnF syr. 422 ; proverbes dans Paris 434, III ; Strasbourg syr. 4122
Apoc. 		Histoire d'Aphikia 		Aphikia 			CAVT 165 ; GCAL I, 211-212 	179, 4
		Histoire d'Apollon et Ammon  					Éd. AMS VII, p. 369-392 ; BUDGE, The Book of Paradise, 1904, II, p. 376-393 (texte) ; I, p. 520-540 (trad.) ; BHO 843 ; CPG 5620. 	Add. 12174
		Histoire d'Apollon le jeune  					Éd. AMS VII, p. 438-442 ; BUDGE, The Book of Paradise, 1904, II, p. 429-431 (texte) ; I, p. 582-585 (trad.) ; BHO 843 ; CPG 5620. 	Add. 12174
		Histoire d'Archélidès de Constantinople					Éd. / trad. WENSINCK, Legends of Eastern Saints, 1911, vol. 1, p. ܡܗ-ܟܐ(d’après les mss. Paris BnF syr. 234 et 235), p. 3-20 (trad.)	Paris BnF syr. 234, 17 ; 235, 10 ; 236, 14 ; 384 ; vat. sir. 199 (garshuni).
		Histoire d'Arsène et vision de l'enfer					Éd.: HALL, Hebraica V, 1890, p. 81-88  (Cambridge, Mass., Harvard University, Houghton Library, 51 et 166.) ; Baumstark, p. 284.	Téhéran Issayi 18, 12 ; Paris BnF syr. 352 ; Strasbourg syr. 4125
		Histoire d'Asia					Éd. /Trad. (partiel) NAU, "Résumé", 1920, p. 17-20 (à partir de Add. 12174) ; SS 95. 	Add. 12174
		Histoire de Bassus, Suzanne, Étienne et Longin					Éd. / Trad. CHABOT, 1893 ; AMS, 1894, vol. 4, p. 471-507 ; BHO 174-176 ; SS 83. 	Paris BnF syr. 421
Hagio. 		Histoire de Bišoy			ܒܝܫܘܝ		Éd. AMS III, p. 572-620 (d'après Paris BnF syr. 236) ; BHO 181-182 ; SS 90 	234, 1 , 236, 3 ; Damas
		Histoire de Clément de Rome					Éd. AMS VI, p. 1-17 (BL Add 12174) ; BHO 204. 	Damas ; Add. 12174
		Histoire de Côme et Damien  					Éd. AMS VI, p. 107-119 (à partir de Add. 12174) ; BHO 210. 	Add. 12174
		Histoire de Constantinople						Téhéran Issayi 18, 15 ;
		Histoire de Daniel le Médecin 					Éd. AMS, 1892, vol. 3, p. 481-510  	Paris BnF syr. 295 ; 309
		Histoire de Denys l'Aréopagite 					BHO 255a-b-c et AMS VI, 459-60 ?? 	235, 29
		Histoire de Domèce le médecin 					Ed.: AMS VI, 535-56. Trad.: TAYLOR A. M., History of Mar Dometius the Healer, Londres, 1938 ; BHO 263 ; SS 132.	235, 28 ; Damas
		Histoire de Fauste, vierge de Cyzique						234, 36
Hagio.		Histoire de Gabriel de Qartmin				ܚܒܝ̈ܒܝ ܩܕܡ ܗܫܐ ܒܩܠܝܠ ܙܒܢܐ ܟܬܒܢܢ ܘܐܫܬܥܝܢܢ ܬܫܥܝܬܗ ܕܩܕܝܫܐ ܡܪܝ ܫܡܘܐܝܠ : ܘܥܠ ܟܠܗܘܢ ܩܕܝ̈ܫܐ ܚܝ̈ܨܐ ܘܚܝ̈ܠܬܢܐ	BHO 307-308 ; SS 163 ; Nau, "Notice historique", 1905, p. 98-111.	Paris BnF syr. 375, 3 ; 417 , 421
		Histoire de Gérasime et du lion					Cf. BHO 324	Damas ; Add. 12174
		Histoire de Grégoire le thaumaturge 					Éd. AMS VI, 83-106 ; BHO 356. 	Damas 12/18
		Histoire de Jacques de Ṣalaḥ (Jacques le reclus)					Éd. / Trad. (partiel) NAU, "Résumé", 1917, p. 3-12 (d'après Add. 12174) ; SS 227.	Damas ; Add. 12174
		Histoire de Jacques de Saroug					Cf. BHO 413-414 ; SS 228 ; cf. VÖÖBUS, Handschriftliche Überlieferung, 1973, vol. I, p. 1.	Damas 12/18
		Histoire de Jacques l'errant 						Damas
Apoc. 		Histoire de Jean à Ephèse					Éd. / Trad. : WRIGHT, Apoc. Acts, 1871, vol. 1, p. 4-65 (texte : ms. St. Petersbourg et BL Add. 17, 192), vol. 2, p. 3-60 (trad.) ; CANT 222 ; BHO 468	Paris 235, 1 ; Trichur M 009 , Paris 236, 8 ; Damas
		Histoire de Jean Baptiste 					Éd. (du grec) NAU, PO 4, 5, 1907, III, p. 521-541.	Trichur ; Pour la version grecque : Paris BnF syr. 388 (s'agit-il de la même version ?)
		Histoire de Jean bar Aphtonia 					Éd. / Trad. NAU, "Histoire de Jean bar Aphtonia", 1902, p. 97-135 (à partir de Add. 12174) ; BHO 497 ; SS 237. 	Add. 12174
		Histoire de Jean bar Malke					Éd. AMS I, p. 344-365 (Paris BnF syr. 236) ; trad. latine avec texte grec dans PG 114, p. 568-581 ; BHO 498.	Paris BnF syr. 234, 26 ; 235, 11 ; 236, 11 ; 309 ; 326 ; RAS syr. 1 ; Berlin syr. 74, 2 et 15.
		Histoire de Jean Chrysostome					Cf. l'édition du résumé dans AMS VI, p. 463 ; cf. BHO 508. 	Damas 12/18
		Histoire de Jean de Kaphna 						Paris BnF syr. 379
		Histoire de Jean de Kfar Sania 					SS 247. 	Damas 12/18
		Histoire de Jean de Tella  					Éd. / Trad. BROOKS, Vitae virorum, 1907, p. 31-95 (texte), p. 21-60 (trad.) ; BHO 524 ; SS 233.	Damas 12/18 ; Add. 12174
Hagio. 		Histoire de Jean le moine d'Antioche 			ܝܘܚܢܢ ܝܚܝܕܝܐ ܕܐܢܛܝܘܟܝܐ			234, 12 ; 236, 27
		Histoire de Jean le Petit (Colobos) 					Éd. / Trad. NAU, “La version syriaque” ROC 17, p. 347-389 ; 18, p. 53-68, 124-133, 283-307 ; 19, p. 33-57. (d'apres le Paris syr. 235). 	235, 16 ; Damas ; 384
		Histoire de Jean le Siloïte 					Éd. / Trad. BRIERE, "Histoire de Jean le Siloïte", 1909, p. 155-173 ; BHO 521. 	Damas
		Histoire de Karka d-Bet Slok et de ses martyrs					Éd. AMS, 1891, vol. 2, p. 507-535 ; trad. HOFFMAN  	Paris BnF syr. 295 ; 309.
		Histoire de la guerre du roi de Moscou contre le royaume des Ismaélites 						Paris BnF syr. 427
		Histoire de la mort de la Vierge (syro-occidentale)  					Cf. WRIGHT, Contributions, 1865, p. ܟܙ - ܣܗ (texte) à partir de Add. 12174 et Add. 14484, p. 18-51 (trad.) ; BHO 631-632 ; CANT 121-122. 	Damas 12/17 ; Add. 12174
Apoc. 		Histoire de la Sibylle 	 	Sibylla Tiburtina			CANT 320 	63, 2, en carchouni
		Histoire de la troisième invention de la croix						Paris BnF syr. 309 ; 326 
Hag. 		Histoire de la veuve de Jérusalem et de ses cinq fils 	Geschichte einer Witwe in Jerusalem und ihrer fünf Söhne 				Cf. GCAL I, 554 	192, i ; 234, 34
		Histoire de la Vierge (nestorienne)					Éd. / Trad. : BUDGE, The history of the Blessed Mary, 1899, vol. 1 (texte), vol. 2 (trad.) ; BHO 643-644 ; CANT 94. Par rapport au texte édité par Budge, l'ordre des séquences est différent ; il semble plus proche de BHO 643. On comparera aussi avec le ms. Siirt 82 (Baumstark, p. 99, n. 4).	RAS syr. 1 ; Téhéran Issayi 18, 1 ; 
		Histoire de l'écolier tué par son maître						RAS syr. 1 ; Trichur ; Téhéran Issayi 18, 7 ; BnF 309
		Histoire de l'empereur Constantin 						Add. 12174
		Histoire de l'empereur Maurice					Éd. / trad. NAU, PO 5, 1910, p. 773-778 ; BHO, p. 277.	Paris BnF syr. 309 ;  434 ; 
Hagio. 		Histoire de Léonce et Publius 					BHO 563	176, 4
Hagio.		Histoire de l'évêque Paula et du prêtre Jean					Éd. / Trad. ARMESON, 2010 ; cf. NAU, ROC 15, 1910, p. 56-60 ; SS 255	Paris BnF syr. 235, 5 ; Paris BnF syr. 389 (D) ; Damas 12/18
Hagio.		Histoire de l'homme de Dieu (Alexis)					Éd. / Trad. : AMIAUD, La légende syriaque de Saint Alexis, 1889 ; NAU, " Hagiographie ", 1910, p. 53-72 ; trad. : DORAN, " The story of the Man of God ", 2006, p. 17-25 (version courte), p. 27-34 (version longue) ;  BHO 38 (1ère partie), BHO 42 (2e partie) ; SS 366.	Paris BnF syr. 234, 41-42; 235, 3-4 ; Téhéran Issayi 18, 8 ; Vat. sir. 199 ; Firenze BML Or. 049 (garshuni)
		Histoire de l'invention du chef de Jean-Baptiste						Trichur 
Hagio.		Histoire de l'invention du chef de Paul						234, 43
		Histoire de Macaire d'Alexandrie 					Éd. AMS VII, p. 67-81 (d'après Paris 317, Berlin 323, Add. 12173, 17173, 17177, 14583, 17174) ; BUDGE, The Book of Paradise, I, p. 144-154 (texte) , II, p. 171-183 (trad.) ; BHO 846-853 ; SS 279. 	Add. 12174
		Histoire de Ma'in de Singar 					BHO 783 ; SS 281. 	ܰAdd. 12174
		Histoire de Mammès					Éd. AMS VI, p. 445-458 (d'après le BL Add. 12174, mais même incipit dans Paris BnF syr. 234) ; BHO 589 ; SS 284 (2).	234, 28
Hag.		Histoire de Marc de Tarmaqa					SS 288 ; BHO 606.	Paris BnF syr. 309 ; Berlin syr. 74, f. 92v ; Damas , Paris BnF syr. 428
		Histoire de Marc le solitaire (Malchos)   					Éd. AMS VII, 236-251 ; BUDGE, The Book of Paradise, 1904, II, p. 279-290 (texte) ; I, p. 344-357 (trad.) ; BHO 585 et 854-56 ; SS 287 ?	Damas ; Add. 12174
Hagio. 		Histoire de Marc, marchand chrétien d'Antioche, et du magicien païen Gaspard 	Geschichte eines christlichen Kaufmanns Markus in Antiochien und eines heidnischen Zauberers Namens Kuzairs 				Pour le garshuni : GCAL I, p. 553 ; résumé à partir de Paris  BnF syr. 234 dans NAU, "Hagiographie", 1910, p. 194-195.	232, 11 (garshuni) ; 234, 32 ; 235, 30 ; Damas ; Add. 12174
		Histoire de Mari de Bet Sahde 					SS 290 ; cf. NAU, " Hagio.", 1910, p. 191-192.	235, 12
		Histoire de Mariam (Šmuni) et de ses sept fils Maccabées					BENSLY, The Forth Book, 1895, p. ܩܕ- ܩܝܣ (texte), p. xxxv-xliv (trad.) ; BHO, p. 276, 3 ; cf. CAVT 201. 	234, 31 ; Add. 12174
		Histoire de Marie la pécheresse				ܐܣܡܥܘ ܐܢܛܪ ܘܐܝܐ ܐܟܘܗ ܡܐ ܐܥܛܡܪ ܚܡܗ̈ ܐܠܡܣܝܚ ܐܒܢ ܐܠܠܗ ܐܠܚܝ . ܐܢܗ ܓܦܪ ܐܠܟܐ ܛܝܗ ܟܛܝܐ ܗܐ		303 (en garsh.)
		Histoire de Marina 					Éd. AMS I, p. 366-371 (à partir du ms. de base non identifié) ; éd. / Trad. NAU, ROC 6, 1901, p. 283-285 (le Paris BnF syr. 234 est collationé sous le sigle "C") ; p. 286-289 (trad.) ; BHO 694-696 ; SS 296 	234, 18 ; Damas 12/18
Hagio.		Histoire de Maron le Romain, sa femme et leurs enfants						Vat. sir. 199
		Histoire de Martinien 					cf. BHG 1177-1180 (pas mentionner BHO)	234, 22 ; 235, 14 (Paradis des Pères n° 138 ou 159) Damas ; Add. 12174
		Histoire de Mattaï sur la montagne d'Alpep 					GEDSH, 2011, p. 280-281.	Paris BnF syr. 416
		Histoire de Nicolas de Myre  					Éd. AMS IV, 290-302 (d'après Add. 12174) ; BHO 810.	Damas 12/18 ; Add. 12174
		Histoire de nobles de Rome et d'Antioche 						Damas
		Histoire de Papos et des 24000 martyrs de Magdala						Damas 12/18
		Histoire de Paul le simple   					Éd. AMS VII, p. 81-87 ; BUDGE, The Book of Paradise, 1904, I, p. 154-159 (texte) ; II, p. 183-189 (trad.) ; BHO 846-853. 	Add. 12174
Apoc. 		Histoire de Philippe l'apôtre					Éd./Trad.: WRIGHT, Apoc. Acts, 1871 (London RAS syr. 1), vol. 1, p. 74-95 et vol. 2, p. 69-92 ; CANT 253 ; BHO 974	235, 9 ; RAS syr. 1 ; Téhéran Issayi 18, 6
		Histoire de Pierre le publicain  					Cf. BHG 2366 ; comparer avec l'Histoire de Jean l'Aumônier, chap. 20 (AMS IV, p. 340-348). 	Paris BnF syr. 234, 30 ; syr. 236, 18 ; 434, II ; Damas 12/17
		Histoire de Pierre l'Ibère					BHO 955 ; SS 350.	Add. 12174
		Histoire de Pinḥas					Cf. éd. AMS IV, p. 208-218 ; BHO 989 ; SS 351.	rahmani 019
		Histoire de Romanos et de l'enfant 					Éd. / Trad. (partiel) NAU, "Résumé", 1917, p. 13-15 ; cf. BHO 1028 ; SS 367. 	Damas 12/18 ; Add. 12174
		Histoire de Rubil					SS 369	Damas ; Paris syr. 384
		Histoire de Saba Gušnazdad 					Éd. AMS, 1891, vol. 2, p. 635-680 ; BHO 1029-1030 ; SS 372. 	Paris BnF syr. 295
		Histoire de Sabrišo' de Bet Qoqa et de ses disciples					Cf. SCHER, ROC 11, 1906, p. 182-197 ; SS 393.	Strasbourg syr. 4132
Hagio. 		Histoire de Sérapion le Sindonite			ܣܪܐܦܝܘܢ		Éd. AMS V, p. 263-341 (à partir de Paris BnF syr. 236 et BL Add. 14732 qui présentent une rédaction différente à la fois de Paris BnF syr. 234 et de l'Histoire Lausiaque) ; BHO 1047	234, 10 ; 195, 5 ; 236, 12 ; Damas
		Histoire de Siméon de Kfar 'Abdin					Éd. / Trad. NAU, "Résumé", 1914, p. 420-431 (d'après BL Add 14649). 	Damas
Hagio.		Histoire de Siméon de Qartmin				 ܘܬܘܒ ܡܢ ܒܬܪ ܡܘܬܗ ܕܡܪܝ ܫܡܘܐܝܠ : ܐܘܣܦ ܡܪܝ ܫܡܥܘܢ ܨܘܡܐ ܪܒܐ ܘܨܠܘ̈ܬܐ ܬܟܝܒ̈ܬܐ : ܘܫܪܝܘ ܟܕ ܐܬܝܢ ܠܘܬܗ ܟܠܗܘܢ ܟܪ̈ܝܗܐ	BHO 1120 ; SS 414 ; Nau, "Notice historique", 1905, p. 8-18.	Paris BnF syr. 375, 2 ; 379 (en arabe) ; 417
